id,category,name,mount,guidance,ship,class,rating
128049250,standard,Lightweight Alloy,,,Sidewinder,1,I
128049251,standard,Reinforced Alloy,,,Sidewinder,1,I
128049252,standard,Military Grade Composite,,,Sidewinder,1,I
128049253,standard,Mirrored Surface Composite,,,Sidewinder,1,I
128049254,standard,Reactive Surface Composite,,,Sidewinder,1,I
128049256,standard,Lightweight Alloy,,,Eagle,1,I
128049257,standard,Reinforced Alloy,,,Eagle,1,I
128049258,standard,Military Grade Composite,,,Eagle,1,I
128049259,standard,Mirrored Surface Composite,,,Eagle,1,I
128049260,standard,Reactive Surface Composite,,,Eagle,1,I
128049262,standard,Lightweight Alloy,,,Hauler,1,I
128049263,standard,Reinforced Alloy,,,Hauler,1,I
128049264,standard,Military Grade Composite,,,Hauler,1,I
128049265,standard,Mirrored Surface Composite,,,Hauler,1,I
128049266,standard,Reactive Surface Composite,,,Hauler,1,I
128049268,standard,Lightweight Alloy,,,Adder,1,I
128049269,standard,Reinforced Alloy,,,Adder,1,I
128049270,standard,Military Grade Composite,,,Adder,1,I
128049271,standard,Mirrored Surface Composite,,,Adder,1,I
128049272,standard,Reactive Surface Composite,,,Adder,1,I
128049274,standard,Lightweight Alloy,,,Viper,1,I
128049275,standard,Reinforced Alloy,,,Viper,1,I
128049276,standard,Military Grade Composite,,,Viper,1,I
128049277,standard,Mirrored Surface Composite,,,Viper,1,I
128049278,standard,Reactive Surface Composite,,,Viper,1,I
128049280,standard,Lightweight Alloy,,,Cobra Mk III,1,I
128049281,standard,Reinforced Alloy,,,Cobra Mk III,1,I
128049282,standard,Military Grade Composite,,,Cobra Mk III,1,I
128049283,standard,Mirrored Surface Composite,,,Cobra Mk III,1,I
128049284,standard,Reactive Surface Composite,,,Cobra Mk III,1,I
128049286,standard,Lightweight Alloy,,,Type-6 Transporter,1,I
128049287,standard,Reinforced Alloy,,,Type-6 Transporter,1,I
128049288,standard,Military Grade Composite,,,Type-6 Transporter,1,I
128049289,standard,Mirrored Surface Composite,,,Type-6 Transporter,1,I
128049290,standard,Reactive Surface Composite,,,Type-6 Transporter,1,I
128049298,standard,Lightweight Alloy,,,Type-7 Transporter,1,I
128049299,standard,Reinforced Alloy,,,Type-7 Transporter,1,I
128049300,standard,Military Grade Composite,,,Type-7 Transporter,1,I
128049301,standard,Mirrored Surface Composite,,,Type-7 Transporter,1,I
128049302,standard,Reactive Surface Composite,,,Type-7 Transporter,1,I
128049304,standard,Lightweight Alloy,,,Asp,1,I
128049305,standard,Reinforced Alloy,,,Asp,1,I
128049306,standard,Military Grade Composite,,,Asp,1,I
128049307,standard,Mirrored Surface Composite,,,Asp,1,I
128049308,standard,Reactive Surface Composite,,,Asp,1,I
128049310,standard,Lightweight Alloy,,,Vulture,1,I
128049311,standard,Reinforced Alloy,,,Vulture,1,I
128049312,standard,Military Grade Composite,,,Vulture,1,I
128049313,standard,Mirrored Surface Composite,,,Vulture,1,I
128049314,standard,Reactive Surface Composite,,,Vulture,1,I
128049316,standard,Lightweight Alloy,,,Imperial Clipper,1,I
128049317,standard,Reinforced Alloy,,,Imperial Clipper,1,I
